;row_ID;Lab_ID;year;vineyard;plant_cover;sand;SOM_perc;CN;h2o_perc;pH;Microbial_biomass;basal_res;Cu_mg_kg;Herbicide
2.15;220;2.15;2015;20;57.13;36.53;4.72;9.80;12.74;7.03;525.60;3.06;19.37;no
4.15;220;4.15;2015;20;57.13;36.53;4.72;9.80;12.74;7.03;525.60;3.06;19.37;no
6.15;120;6.15;2015;20;41.75;36.53;5.64;8.63;14.69;7.26;757.01;5.40;26.57;yes
7.15;120;7.15;2015;20;41.75;36.53;5.64;8.63;14.69;7.26;757.01;5.40;26.57;yes
14.15;121;14.15;2015;21;11.50;56.65;4.16;9.97;11.15;6.98;292.90;2.36;53.88;yes
15.15;121;15.15;2015;21;11.50;56.65;4.16;9.97;11.15;6.98;292.90;2.36;53.88;yes
16.15;121;16.15;2015;21;11.50;56.65;4.16;9.97;11.15;6.98;292.90;2.36;53.88;yes
17.15;121;17.15;2015;21;11.50;56.65;4.16;9.97;11.15;6.98;292.90;2.36;53.88;yes
18.15;121;18.15;2015;21;11.50;56.65;4.16;9.97;11.15;6.98;292.90;2.36;53.88;yes
23.15;108;23.15;2015;8;9.50;43.39;8.50;9.17;16.42;7.39;484.60;3.07;109.9;yes
25.15;108;25.15;2015;8;9.50;43.39;8.50;9.17;16.42;7.39;484.60;3.07;109.9;yes
30.15;112;30.15;2015;12;3.25;44.02;10.49;9.22;16.35;7.25;532.36;3.31;134.1;yes
32.15;112;32.15;2015;12;3.25;44.02;10.49;9.22;16.35;7.25;532.36;3.31;134.1;yes
33.15;112;33.15;2015;12;3.25;44.02;10.49;9.22;16.35;7.25;532.36;3.31;134.1;yes
34.15;112;34.15;2015;12;3.25;44.02;10.49;9.22;16.35;7.25;532.36;3.31;134.1;yes
38.15;111;38.15;2015;11;59.00;31.42;8.11;9.00;17.65;7.17;729.96;5.83;179.2;no
39.15;111;39.15;2015;11;59.00;31.42;8.11;9.00;17.65;7.17;729.96;5.83;179.2;no
40.15;111;40.15;2015;11;59.00;31.42;8.11;9.00;17.65;7.17;729.96;5.83;179.2;no
41.15;111;41.15;2015;11;59.00;31.42;8.11;9.00;17.65;7.17;729.96;5.83;179.2;no
42.15;111;42.15;2015;11;59.00;31.42;8.11;9.00;17.65;7.17;729.96;5.83;179.2;no
48.15;104;48.15;2015;4;0.00;21.60;5.57;7.81;23.40;7.34;554.82;2.91;27.68;yes
52.15;104;52.15;2015;4;0.00;21.60;5.57;7.81;23.40;7.34;554.82;2.91;27.68;yes
53.15;104;53.15;2015;4;0.00;21.60;5.57;7.81;23.40;7.34;554.82;2.91;27.68;yes
55.15;116;55.15;2015;16;0.25;44.96;7.99;9.60;12.72;7.21;418.39;2.66;165.5;yes
58.15;116;58.15;2015;16;0.25;44.96;7.99;9.60;12.72;7.21;418.39;2.66;165.5;yes
62.15;123;62.15;2015;23;75.13;63.29;6.56;8.84;14.99;7.12;500.18;4.34;47.53;no
63.15;123;63.15;2015;23;75.13;63.29;6.56;8.84;14.99;7.12;500.18;4.34;47.53;no
64.15;123;64.15;2015;23;75.13;63.29;6.56;8.84;14.99;7.12;500.18;4.34;47.53;no
65.15;123;65.15;2015;23;75.13;63.29;6.56;8.84;14.99;7.12;500.18;4.34;47.53;no
66.15;123;66.15;2015;23;75.13;63.29;6.56;8.84;14.99;7.12;500.18;4.34;47.53;no
70.15;122;70.15;2015;22;10.50;47.40;8.62;9.20;22.47;7.15;843.09;5.49;77.86;yes
71.15;122;71.15;2015;22;10.50;47.40;8.62;9.20;22.47;7.15;843.09;5.49;77.86;yes
72.15;122;72.15;2015;22;10.50;47.40;8.62;9.20;22.47;7.15;843.09;5.49;77.86;yes
73.15;122;73.15;2015;22;10.50;47.40;8.62;9.20;22.47;7.15;843.09;5.49;77.86;yes
74.15;122;74.15;2015;22;10.50;47.40;8.62;9.20;22.47;7.15;843.09;5.49;77.86;yes
79.15;114;79.15;2015;14;14.75;44.58;11.30;8.78;15.29;7.07;504.58;4.83;47.89;yes
82.15;114;82.15;2015;14;14.75;44.58;11.30;8.78;15.29;7.07;504.58;4.83;47.89;yes
87.15;214;87.15;2015;14;60.63;44.58;8.64;8.71;15.83;7.13;1490.39;7.40;33.65;no
88.15;214;88.15;2015;14;60.63;44.58;8.64;8.71;15.83;7.13;1490.39;7.40;33.65;no
91.15;126;91.15;2015;26;0.13;55.62;23.22;10.37;34.23;6.69;968.66;8.45;260.1;yes
92.15;126;92.15;2015;26;0.13;55.62;23.22;10.37;34.23;6.69;968.66;8.45;260.1;yes
99.15;115;99.15;2015;15;66.38;56.52;14.21;8.68;20.37;7.07;1119.39;7.23;77.67;no
101.15;115;101.15;2015;15;66.38;56.52;14.21;8.68;20.37;7.07;1119.39;7.23;77.67;no
105.15;125;105.15;2015;25;9.13;36.79;4.05;10.68;18.14;6.87;350.83;2.77;82.17;yes
108.15;125;108.15;2015;25;9.13;36.79;4.05;10.68;18.14;6.87;350.83;2.77;82.17;yes
132.15;232;132.15;2015;32;24.38;67.96;10.83;8.86;22.73;6.67;753.59;6.89;520.1;no
135.15;131;135.15;2015;31;4.88;15.29;7.38;8.62;22.73;5.65;315.85;2.57;118.9;yes
136.15;131;136.15;2015;31;4.88;15.29;7.38;8.62;22.73;5.65;315.85;2.57;118.9;yes
137.15;131;137.15;2015;31;4.88;15.29;7.38;8.62;22.73;5.65;315.85;2.57;118.9;yes
138.15;131;138.15;2015;31;4.88;15.29;7.38;8.62;22.73;5.65;315.85;2.57;118.9;yes
139.15;131;139.15;2015;31;4.88;15.29;7.38;8.62;22.73;5.65;315.85;2.57;118.9;yes
140.15;107;140.15;2015;7;22.13;32.76;2.81;8.86;12.29;7.3;398.83;2.98;22.41;no
144.15;107;144.15;2015;7;22.13;32.76;2.81;8.86;12.29;7.3;398.83;2.98;22.41;no
147.15;130;147.15;2015;30;51.63;22.63;5.30;8.63;16.70;6.58;890.64;5.74;45.33;no
148.15;130;148.15;2015;30;51.63;22.63;5.30;8.63;16.70;6.58;890.64;5.74;45.33;no
149.15;130;149.15;2015;30;51.63;22.63;5.30;8.63;16.70;6.58;890.64;5.74;45.33;no
150.15;130;150.15;2015;30;51.63;22.63;5.30;8.63;16.70;6.58;890.64;5.74;45.33;no
153.15;113;153.15;2015;13;10.88;40.54;7.34;8.87;14.56;7.12;528.66;3.61;147.9;yes
156.15;213;156.15;2015;13;63.13;40.54;3.24;8.77;12.95;7.17;698.34;3.74;94.66;no
161.15;213;161.15;2015;13;63.13;40.54;3.24;8.77;12.95;7.17;698.34;3.74;94.66;no
162.15;113;162.15;2015;13;10.88;40.54;7.34;8.87;14.56;7.12;528.66;3.61;147.9;yes
166.15;132;166.15;2015;32;0.63;67.96;21.85;9.15;21.49;7.02;624.96;4.87;416.9;yes
170.15;127;170.15;2015;27;27.00;46.56;25.35;10.92;31.80;6.88;1252.54;10.37;259.5;no
174.15;127;174.15;2015;27;27.00;46.56;25.35;10.92;31.80;6.88;1252.54;10.37;259.5;no
177.15;128;177.15;2015;28;0.63;56.83;20.79;8.80;24.62;6.86;1077.31;9.10;449.1;yes
181.15;128;181.15;2015;28;0.63;56.83;20.79;8.80;24.62;6.86;1077.31;9.10;449.1;yes
185.15;228;185.15;2015;28;21.75;56.83;12.65;8.83;23.12;6.92;987.14;7.72;468;no
187.15;228;187.15;2015;28;21.75;56.83;12.65;8.83;23.12;6.92;987.14;7.72;468;no
215.15;103;215.15;2015;3;96.13;28.94;6.78;8.25;19.64;6.76;728.36;5.00;20.22;no
216.15;103;216.15;2015;3;96.13;28.94;6.78;8.25;19.64;6.76;728.36;5.00;20.22;no
217.15;233;217.15;2015;33;51.00;46.98;14.06;10.86;20.90;7.11;892.25;5.49;47.98;no
220.15;233;220.15;2015;33;51.00;46.98;14.06;10.86;20.90;7.11;892.25;5.49;47.98;no
226.15;133;226.15;2015;33;16.00;46.98;5.07;9.11;14.13;6.95;473.20;4.21;86.5;yes
227.15;133;227.15;2015;33;16.00;46.98;5.07;9.11;14.13;6.95;473.20;4.21;86.5;yes
233.15;103;233.15;2015;3;96.13;28.94;6.78;8.25;19.64;6.76;728.36;5.00;20.22;no
234.15;106;234.15;2015;6;38.88;20.77;5.64;8.82;14.58;7.11;534.91;5.06;50.01;no
238.15;106;238.15;2015;6;38.88;20.77;5.64;8.82;14.58;7.11;534.91;5.06;50.01;no
241.15;232;241.15;2015;32;24.38;67.96;10.83;8.86;22.73;6.67;753.59;6.89;520.1;no
242.15;132;242.15;2015;32;0.63;67.96;21.85;9.15;21.49;7.02;624.96;4.87;416.9;yes
244.15;103;244.15;2015;3;96.13;28.94;6.78;8.25;19.64;6.76;728.36;5.00;20.22;no
245.15;103;245.15;2015;3;96.13;28.94;6.78;8.25;19.64;6.76;728.36;5.00;20.22;no
250.15;124;250.15;2015;24;0.88;35.95;8.35;8.88;19.56;6.58;782.48;4.32;173.1;yes
253.15;124;253.15;2015;24;0.88;35.95;8.35;8.88;19.56;6.58;782.48;4.32;173.1;yes
256.15;224;256.15;2015;24;56.00;35.95;4.96;8.25;15.13;7.15;748.43;4.92;120.9;no
257.15;224;257.15;2015;24;56.00;35.95;4.96;8.25;15.13;7.15;748.43;4.92;120.9;no
260.15;118;260.15;2015;18;6.00;24.96;5.34;8.80;15.45;6.94;294.22;3.09;73.3;yes
262.15;118;262.15;2015;18;6.00;24.96;5.34;8.80;15.45;6.94;294.22;3.09;73.3;yes
267.15;218;267.15;2015;18;83.25;24.96;4.02;10.82;12.21;6.59;450.97;3.52;81.52;no
269.15;218;269.15;2015;18;83.25;24.96;4.02;10.82;12.21;6.59;450.97;3.52;81.52;no
273.15;117;273.15;2015;17;9.88;32.52;2.24;9.89;10.85;7.3;204.15;1.47;46.13;yes
274.15;117;274.15;2015;17;9.88;32.52;2.24;9.89;10.85;7.3;204.15;1.47;46.13;yes
277.15;217;277.15;2015;17;85.38;32.52;6.55;8.83;14.80;7.03;540.31;4.36;41.74;no
279.15;217;279.15;2015;17;85.38;32.52;6.55;8.83;14.80;7.03;540.31;4.36;41.74;no
285.15;109;285.15;2015;9;28.88;39.46;6.16;10.11;21.69;7.4;704.45;5.70;110.6;no
286.15;109;286.15;2015;9;28.88;39.46;6.16;10.11;21.69;7.4;704.45;5.70;110.6;no
292.15;110;292.15;2015;10;1.13;32.09;4.68;10.47;17.65;7.36;296.80;3.08;64.36;yes
293.15;110;293.15;2015;10;1.13;32.09;4.68;10.47;17.65;7.36;296.80;3.08;64.36;yes
298.15;119;298.15;2015;19;60.63;46.68;7.55;7.63;19.43;7.21;1269.63;6.27;38.69;no
299.15;119;299.15;2015;19;60.63;46.68;7.55;7.63;19.43;7.21;1269.63;6.27;38.69;no
300.15;119;300.15;2015;19;60.63;46.68;7.55;7.63;19.43;7.21;1269.63;6.27;38.69;no
301.15;119;301.15;2015;19;60.63;46.68;7.55;7.63;19.43;7.21;1269.63;6.27;38.69;no
302.15;119;302.15;2015;19;60.63;46.68;7.55;7.63;19.43;7.21;1269.63;6.27;38.69;no
307.15;104;307.15;2015;4;0.00;21.60;5.57;7.81;23.40;7.34;554.82;2.91;27.68;yes
315.15;130;315.15;2015;30;51.63;22.63;5.30;8.63;16.70;6.58;890.64;5.74;45.33;no